physical,mental,interactional,social,interactive,intended,transitive
0002:なる,1,0,0,0,0,0,0
0003:ある,1,0,0,0,0,0,0
0004:言う,0,1,1,1,1,1,0
0005:思う,0,1,0,0,0,0,0
0007:見る,0,1,1,0,0,1,1
0008:いる,1,1,0,0,0,0,0
0009:考える,0,1,0,0,0,0,0
0010:分かる,0,1,1,0,0,0,0
0011:持つ,1,0,1,0,0,0,1
0012:行う,0,1,1,1,1,1,1
0013:出る*,1,0,1,0,0,1,0
0015:行く*,1,0,1,0,0,1,0
0016:入る*,1,0,1,0,0,1,0
0017:知る*,0,1,1,0,0,0,0
0018:聞く,1,1,1,1,0,1,1
0019:使う*,1,0,1,1,0,1,1
0020:来る,1,0,0,0,0,0,0
0021:作る*,1,1,1,0,0,1,1
0023:受ける,1,0,1,1,1,1,1
0024:書く*,1,0,1,0,0,1,1
0025:入れる,1,0,1,0,0,1,1
0026:出す,1,0,1,0,0,1,1
0027:見える,0,1,1,0,0,1,0
0028:しれる=知れる,0,1,1,1,0,0,0
0029:教える*,0,1,1,1,1,1,1
0030:食べる,1,0,1,0,0,1,1
0031:違う,0,1,0,0,0,0,0
0033:感じる*,0,1,1,0,0,0,0
0034:呼ぶ,1,1,1,1,1,1,1
0037:買う,0,1,1,1,1,1,1
0038:言える,1,1,1,0,0,0,0
0039:得る,1,0,1,1,1,1,1
0040:示す,1,1,1,1,1,0,1
0041:変わる,1,0,0,0,0,0,0
0043:読む,1,1,1,1,0,1,1
0044:いく,1,0,0,0,0,0,0
0048:与える,1,1,1,1,1,1,1
0049:求める,0,1,1,1,1,0,1
0051:認める,0,1,1,1,1,0,1
0052:続く,1,0,0,0,0,0,0
0053:取る,1,1,1,0,0,1,1
0057:戻る,1,0,1,0,0,1,0
0059:終わる,1,0,0,0,0,0,0
0061:歩く,1,0,0,0,0,1,0
0062:待つ,0,1,1,0,0,1,1
0063:死ぬ,1,0,0,0,0,0,0
0064:図る,0,1,1,0,0,1,0
0065:残る,1,0,0,0,0,0,0
0067:進む,1,0,0,0,0,0,0
0069:生まれる,1,0,0,0,0,0,0
0072:会う,0,1,1,1,1,0,0
0076:乗る,1,0,1,0,0,1,0
0080:実施する,0,1,1,1,1,1,1
0082:過ぎる,1,0,0,0,0,0,0
0083:関わる,0,1,1,1,1,0,0
0084:送る,1,1,1,1,1,1,1
0085:用いる,1,0,1,1,0,1,1
0091:述べる,0,1,1,1,1,1,0
0093:続ける,0,1,0,0,0,0,0
0095:答える*,1,1,1,1,1,1,0
0097:話す,0,1,1,1,1,1,0
0098:使用する,1,0,1,1,0,1,1
0102:守る,0,1,1,1,1,1,1
0110:探す*,0,1,1,0,0,1,1
0111:伝える,0,1,1,1,1,1,1
0112:調べる,0,1,1,0,0,1,1
0121:生じる,1,0,0,0,0,0,0
0123:紹介する,0,1,1,1,1,1,1
0124:信じる,0,1,1,1,1,0,1
0126:確認する,0,1,1,0,0,1,1
0128:語る,0,1,1,1,1,1,0
0131:殺す,1,0,1,1,1,1,1
0134:売る,0,1,1,1,1,1,1
0135:説明する,0,1,1,1,1,1,1
0143:座る,1,0,1,0,0,1,0
0144:驚く,0,1,1,0,0,0,0
0145:聞こえる,1,1,1,0,0,0,0
0147:楽しむ,0,1,1,0,0,0,1
0151:参加する,0,1,1,1,1,1,0
0155:繰り返す,1,0,0,0,0,1,0
0162:着る,1,0,1,0,0,1,1
0164:表示する,1,1,1,1,1,1,1
0167:対応する,0,1,1,1,1,1,0
0168:係る,0,1,1,0,0,0,0
0171:迎える,0,1,1,1,1,0,1
0174:並ぶ,1,0,1,1,0,1,0
0175:つながる,1,0,1,0,0,0,0
0177:許す,0,1,1,1,1,1,1
0178:学ぶ,0,1,1,1,1,1,1
0179:頼む,0,1,1,1,1,1,0
0183:届く,1,0,1,1,1,0,0
